LR,Optimizer,Batch,Val Dice
0.001,adam,2,0.40946903824806213
0.001,adam,4,0.38639870285987854
0.001,sgd,2,0.24254433810710907
0.001,sgd,4,0.29433995485305786
0.0001,adam,2,0.453589528799057
0.0001,adam,4,0.553775429725647
0.0001,sgd,2,0.2524946331977844
0.0001,sgd,4,0.3014817237854004
1e-05,adam,2,0.2407567948102951
1e-05,adam,4,0.3045549988746643
1e-05,sgd,2,0.25517287850379944
1e-05,sgd,4,0.30363383889198303
